"Note" "Dozent" "Ausstattung"
"1" 1.73 2 1.7
"2" 1.87 1.8 1.8
"3" 1.91 2 1.9
"4" 1.94 2 2
"5" 2.02 2 2.2
"6" 2.06 2.3 2.2
"7" 2.06 2.2 2.1
"8" 2.09 2.1 2.2
"9" 2.1 2.3 2.2
"10" 2.12 2.2 2.2
"11" 2.14 2.5 2.1
"12" 2.15 2.3 2
"13" 2.19 2.2 2.2
"14" 2.2 2.2 2.4
"15" 2.21 2.5 2.3
"16" 2.24 2.7 2.1
"17" 2.31 2.3 2.4
"18" 2.32 2.7 2.5
"19" 2.33 2.6 2.4
"20" 2.34 2.5 2.5
"21" 2.35 2.9 2.3
"22" 2.38 2.7 2.3
"23" 2.39 2.3 2.7
"24" 2.39 2.4 2.7
"25" 2.47 2.8 2.4
"26" 2.47 2.8 2.6
"27" 2.47 2.7 2.3
"28" 2.49 2.4 2.5
"29" 2.5 2.6 2.8
"30" 2.53 3.2 2.4
"31" 2.57 3 2.5
"32" 2.57 2.9 2.8
"33" 2.62 2.5 3
"34" 2.68 3 2.7
"35" 2.78 3.3 2.8
"36" 2.98 3.3 2.9
"37" 3.05 2.9 3.2
"38" 3.07 3.3 3.1
"39" 3.62 3.4 3.8
